,name,productUrl,originalPrice,price,discount,ratingScore,review,inStock,location,image,Seller Name,Brand Name,Seller Id,Item Id,unique,Dublicates
2882,"pack of 6 towels 12x12 cotton towel, bath and hand towel, high quality",www.daraz.pk/products/pack-of-6-towels-12x12-cotton-towel-bath-and-hand-towel-high-quality-i164840001-s1332450494.html?search=1,600,190,-0.68,5,1,TRUE,Pakistan,https://static-01.daraz.pk/p/fd6556f80c9aa354d4be69e19eb1936f.jpg,N S WORLD,NS World,1067471,164840001,164840001,
2885,"New Floral Flower Cotton Bath Towel, Quality Bath Hand Towels, High Quality Beach Terry Towels",www.daraz.pk/products/new-floral-flower-cotton-bath-towel-quality-bath-hand-towels-high-quality-beach-terry-towels-i160014810-s1326540030.html?search=1,,180,,4,1,TRUE,Pakistan,https://static-01.daraz.pk/p/8474c8c6e260b694969bc9647341a8d9.jpg,Rizwan Mart,Rizwan Mart,1007244,160014810,160014810,
2886,"New Floral Flower Cotton Bath Towel, Quality Bath Hand Towels, High Quality Beach Terry Towels",www.daraz.pk/products/new-floral-flower-cotton-bath-towel-quality-bath-hand-towels-high-quality-beach-terry-towels-i157754650-s1324142487.html?search=1,,180,,5,1,TRUE,Pakistan,https://static-01.daraz.pk/p/8474c8c6e260b694969bc9647341a8d9.jpg,ADNAN RASHEED & SONS (Karachi),ADNAN RASHEED & SONS,17427,157754650,157754650,
2892,High Quality New 20pcs Magic Compressed Travel Towel Disposable Towel Tissue,www.daraz.pk/products/high-quality-new-20pcs-magic-compressed-travel-towel-disposable-towel-tissue-i155470521-s1321084353.html?search=1,399,155,-0.61,5,1,TRUE,Pakistan,https://static-01.daraz.pk/p/cf57831fc10cf21b4b5ec113f72bd1aa.jpg,Maddyshop,Abrish Shop,6.00501E+12,155470521,155470521,
2977,"Soap Dish Self Draining Soap Case Holder-Silicone Soap Saver Rubber Drainer Dishes Soap Saver for Shower, Bathroom, Kitchen, Counter Top, Keep Soap Bars Dry and Easy Cleaning",www.daraz.pk/products/soap-dish-self-draining-soap-case-holder-silicone-soap-saver-rubber-drainer-dishes-soap-saver-for-shower-bathroom-kitchen-counter-top-keep-soap-bars-dry-and-easy-cleaning-i165004075-s1334956794.html?search=1,200,150,-0.25,5,1,TRUE,Pakistan,https://static-01.daraz.pk/p/mdc/f2ff358bb63d0f93ace6c790a5548d6e.jpg,Velvet,My Velvet,6.00501E+12,165004075,165004075,
2994,Bath Mug Millat (SPRING SERIES) Pack Of 3,www.daraz.pk/products/bath-mug-millat-spring-series-pack-of-3-i134226911-s1294640086.html?search=1,,140,,5,18,TRUE,Pakistan,https://static-01.daraz.pk/p/mdc/44c868265d51ac4255c0a8c3d1fc546d.jpg,Millat Plastic Products,Millat Plastic Products,1142943,134226911,134226911,
2898,1 Pcs Silicone Rubber Five-pointed Star Sink Filter Sea Star Drain Cover Sink Strainer Hair Catcher Leakage Filter for Kitchen and Bathroom- Multicolor,www.daraz.pk/products/1-pcs-silicone-rubber-five-pointed-star-sink-filter-sea-star-drain-cover-sink-strainer-hair-catcher-leakage-filter-for-kitchen-and-bathroom-multicolor-i154500999-s1319658131.html?search=1,204,131,-0.36,4,1,TRUE,Pakistan,https://static-01.daraz.pk/p/9bcb0fdead750f2fd2306e9cc795394e.jpg,Zeem Store,Zeem Store,6.00501E+12,154500999,154500999,
2970,Diamond Royal Bath Water Mug With Handle,www.daraz.pk/products/diamond-royal-bath-water-mug-with-handle-i153466440-s1318218987.html?search=1,210,125,-0.4,5,1,TRUE,Pakistan,https://static-01.daraz.pk/p/a4e49cd3511301aca7926339c84297d8.jpg,Lucky 7 Store,Sheikh Arslan trading,1149505,153466440,153466440,
2961,Candy Mixed Bath Balls Rich bubbles Body Flower Bath Sponge Shower Brush Body Wash Scrubber Mesh Soft Puff,www.daraz.pk/products/candy-mixed-bath-balls-rich-bubbles-body-flower-bath-sponge-shower-brush-body-wash-scrubber-mesh-soft-puff-i119040123-s1272490896.html?search=1,199,120,-0.4,5,2,TRUE,Pakistan,https://static-01.daraz.pk/p/d76b8fe98ae015a39e4f5ca8023bb46b.jpg,Brand Mall (Rawalpindi),SMART BRAND,7737,119040123,119040123,
2960,Wash Brush Bath Back Hanging Striped Braid Shape Mesh Shower Soft Comfortable Flower Ball Random Color,www.daraz.pk/products/wash-brush-bath-back-hanging-striped-braid-shape-mesh-shower-soft-comfortable-flower-ball-random-color-i119026954-s1272502794.html?search=1,199,120,-0.4,5,1,TRUE,Pakistan,https://static-01.daraz.pk/p/e08ca49f1665c9a0ea5cbe7e70a80c20.jpg,Brand Mall (Rawalpindi),SMART BRAND,7737,119026954,119026954,
2985,Magic Changeable Clothes Pluto Plastic Hanger - Space Saving Wonder Closet Organizer 9 Holes Holder Cloths and Pants Hanger,www.daraz.pk/products/magic-changeable-clothes-pluto-plastic-hanger-i134224535-s1294616009.html?search=1,241,117,-0.51,5,2,TRUE,Pakistan,https://static-01.daraz.pk/p/a2fe7dd22fb2e4a05d2fb9df0ad3305a.jpg,Deemiz (Karachi),Deemiz,3156,134224535,134224535,
1959,Al Nasik White Towel handkerchief 10x10 inches 100% cotton in pack 4,www.daraz.pk/products/al-nasik-white-towel-handkerchief-10x10-inches-100-cotton-in-pack-4-i146308943-s1309046742.html?search=1,120,100,-0.17,5,5,TRUE,Pakistan,https://static-01.daraz.pk/p/8b795fab1f26aa98cb9d078ce05de72d.png,nasik,Al Nasik,1038435,146308943,146308943,
2888,"Discount Silicone Scrubber Dish Washing, Food Grade Kitchen Dish Washing Sponge Brush",www.daraz.pk/products/discount-silicone-scrubber-dish-washing-food-grade-kitchen-dish-washing-sponge-brush-i156332796-s1322290829.html?search=1,199,99,-0.5,5,1,TRUE,Pakistan,https://static-01.daraz.pk/p/79e40c27cfad392e64c799ce3160a211.jpg,Base,Base,1091300,156332796,156332796,
2992,Toilet Brush Lite 2.0,www.daraz.pk/products/toilet-brush-lite-20-i147610318-s1310864133.html?search=1,,90,,5,4,TRUE,Pakistan,https://static-01.daraz.pk/p/eed830cc6c8dde57ce941276f893468a.jpg,Zidello -,Royal Touch,1059036,147610318,147610318,
2972,pack of 10 pic's Disposable Travel Cotton Compressed Towel Magic Hand Towel Outdoor Trip Compact Facial Tissue Wipes,www.daraz.pk/products/pack-of-10-pics-disposable-travel-cotton-compressed-towel-magic-hand-towel-outdoor-trip-compact-facial-tissue-wipes-i147964500-s1311460009.html?search=1,75,72,-0.04,5,1,TRUE,Pakistan,https://static-01.daraz.pk/p/d2bc5290d7191d0420b30999c4a895ce.jpg,IM electronics,IM.Com,1108341,147964500,147964500,
2991,Toilet Brush Curve,www.daraz.pk/products/toilet-brush-curve-i147600549-s1310856430.html?search=1,70,60,-0.14,4.5,2,TRUE,Pakistan,https://static-01.daraz.pk/p/645d9ff3c337cd1e3998b14213599cd5.jpg,Zidello -,Royal Touch,1059036,147600549,147600549,
